Date,CLOSE,HIGH,LOW,OPEN,VOLUME
2010-12-15,687.417,,,,
2010-12-16,687.438,,,,
2010-12-17,687.438,,,,
2010-12-20,687.444,,,,
2010-12-21,687.417,,,,
2010-12-22,687.424,,,,
2010-12-23,687.438,,,,
2010-12-27,687.444,,,,
2010-12-28,687.444,,,,
2010-12-29,687.451,,,,
2010-12-30,687.458,,,,
2010-12-31,687.451,,,,
2011-01-03,687.458,,,,
2011-01-04,687.458,,,,
2011-01-05,687.465,,,,
2011-01-06,687.465,,,,
2011-01-07,687.451,,,,
2011-01-10,687.458,,,,
2011-01-11,687.458,,,,
2011-01-12,687.451,,,,
2011-01-13,687.465,,,,
2011-01-14,687.451,,,,
2011-01-18,687.465,,,,
2011-01-19,687.465,,,,
2011-01-20,687.472,,,,
2011-01-21,687.472,,,,
2011-01-24,687.479,,,,
2011-01-25,687.472,,,,
2011-01-26,687.472,,,,
2011-01-27,687.486,,,,
2011-01-28,687.506,,,,
2011-02-01,687.486,,,,
2011-02-02,687.506,,,,
2011-02-03,687.52,,,,
2011-02-04,687.527,,,,
2011-02-07,687.534,,,,
2011-02-08,687.534,,,,
2011-02-09,687.554,,,,
2011-02-10,687.582,,,,
2011-02-11,687.589,,,,
2011-02-14,687.582,,,,
2011-02-15,687.596,,,,
2011-02-16,687.609,,,,
2011-02-17,687.637,,,,
2011-02-18,687.63,,,,
2011-02-21,687.635,,,,
2011-02-22,687.623,,,,
2011-02-23,687.623,,,,
2011-02-24,687.63,,,,
2011-02-28,687.609,,,,
2011-03-01,687.616,,,,
2011-03-02,687.651,,,,
2011-03-03,687.651,,,,
2011-03-04,687.651,,,,
2011-03-07,687.692,,,,
2011-03-08,687.692,,,,
2011-03-09,687.713,,,,
2011-03-10,687.754,,,,
2011-03-11,687.74,,,,
2011-03-14,687.747,,,,
2011-03-15,687.747,,,,
2011-03-16,687.747,,,,
2011-03-17,687.747,,,,
2011-03-18,687.754,,,,
2011-03-21,687.754,,,,
2011-03-22,687.747,,,,
2011-03-23,687.768,,,,
2011-03-24,687.781,,,,
2011-03-25,687.774,,,,
2011-03-28,687.774,,,,
2011-03-29,687.774,,,,
2011-03-30,687.774,,,,
2011-03-31,687.788,,,,
2011-04-01,687.843,,,,
2011-04-04,687.878,,,,
2011-04-05,687.85,,,,
2011-04-06,687.864,,,,
2011-04-07,687.885,,,,
2011-04-08,687.885,,,,
2011-04-11,687.885,,,,
2011-04-12,687.885,,,,
2011-04-13,687.885,,,,
2011-04-14,687.857,,,,
2011-04-15,687.857,,,,
2011-04-18,687.878,,,,
2011-04-19,687.878,,,,
2011-04-20,687.891,,,,
2011-04-21,687.891,,,,
2011-04-25,687.898,,,,
2011-04-26,687.898,,,,
2011-04-27,687.912,,,,
2011-04-28,687.919,,,,
2011-04-29,687.926,,,,
2011-05-02,687.925,,,,
2011-05-03,687.96,,,,
2011-05-04,687.96,,,,
2011-05-05,687.96,,,,
2011-05-06,687.96,,,,
2011-05-09,687.967,,,,
2011-05-10,687.967,,,,
2011-05-11,687.967,,,,
2011-05-12,687.98,,,,
2011-05-13,687.967,,,,
2011-05-16,687.967,,,,
2011-05-17,687.967,,,,
2011-05-18,687.967,,,,
2011-05-19,687.967,,,,
2011-05-20,687.967,,,,
2011-05-23,687.967,,,,
2011-05-24,687.96,,,,
2011-05-25,687.967,,,,
2011-05-26,687.967,,,,
2011-05-27,687.974,,,,
2011-05-30,687.974,,,,
2011-05-31,687.974,,,,
2011-06-01,687.994,,,,
2011-06-02,687.994,,,,
2011-06-03,687.994,,,,
2011-06-06,687.994,,,,
2011-06-07,688.008,,,,
2011-06-08,688.008,,,,
2011-06-09,688.015,,,,
2011-06-10,688.015,,,,
2011-06-13,688.001,,,,
2011-06-14,688.001,,,,
2011-06-15,688.001,,,,
2011-06-16,688.015,,,,
2011-06-17,688.029,,,,
2011-06-20,688.029,,,,
2011-06-21,688.029,,,,
2011-06-22,688.042,,,,
2011-06-23,688.022,,,,
2011-06-24,688.035,,,,
2011-06-27,688.035,,,,
2011-06-28,688.035,,,,
2011-06-29,688.035,,,,
2011-06-30,688.035,,,,
2011-07-01,688.035,,,,
2011-07-05,688.035,,,,
2011-07-06,688.008,,,,
2011-07-07,688.035,,,,
2011-07-08,688.035,,,,
2011-07-11,688.042,,,,
2011-07-12,688.042,,,,
2011-07-13,688.056,,,,
2011-07-14,688.029,,,,
2011-07-15,688.015,,,,
2011-07-18,688.042,,,,
2011-07-19,688.042,,,,
2011-07-20,688.056,,,,
2011-07-21,688.042,,,,
2011-07-22,688.029,,,,
2011-07-25,688.022,,,,
2011-07-26,688.008,,,,
2011-07-27,688.008,,,,
2011-07-28,688.001,,,,
2011-07-29,687.987,,,,
2011-08-01,688.028,,,,
2011-08-02,688.09,,,,
2011-08-03,688.145,,,,
2011-08-04,688.145,,,,
2011-08-05,688.124,,,,
2011-08-08,688.11,,,,
2011-08-09,688.131,,,,
2011-08-10,688.145,,,,
2011-08-11,688.131,,,,
2011-08-12,688.145,,,,
2011-08-15,688.131,,,,
2011-08-16,688.145,,,,
2011-08-17,688.145,,,,
2011-08-18,688.145,,,,
2011-08-19,688.145,,,,
2011-08-22,688.131,,,,
2011-08-23,688.145,,,,
2011-08-24,688.131,,,,
2011-08-25,688.131,,,,
2011-08-26,688.138,,,,
2011-08-29,688.145,,,,
2011-08-30,688.145,,,,
2011-08-31,688.145,,,,
2011-09-01,688.145,,,,
2011-09-02,688.165,,,,
2011-09-05,688.165,,,,
2011-09-06,688.152,,,,
2011-09-07,688.165,,,,
2011-09-08,688.152,,,,
2011-09-09,688.152,,,,
2011-09-12,688.152,,,,
2011-09-13,688.165,,,,
2011-09-14,688.179,,,,
2011-09-15,688.152,,,,
2011-09-16,688.165,,,,
2011-09-19,688.152,,,,
2011-09-20,688.152,,,,
2011-09-21,688.152,,,,
2011-09-22,688.152,,,,
2011-09-23,688.152,,,,
2011-09-26,688.165,,,,
2011-09-27,688.165,,,,
2011-09-28,688.158,,,,
2011-09-29,688.165,,,,
2011-09-30,688.158,,,,
2011-10-03,688.179,,,,
2011-10-04,688.062,,,,
2011-10-05,688.131,,,,
2011-10-06,688.179,,,,
2011-10-07,688.179,,,,
2011-10-10,688.179,,,,
2011-10-11,688.179,,,,
2011-10-12,688.165,,,,
2011-10-13,688.165,,,,
2011-10-14,688.151,,,,
2011-10-17,688.151,,,,
2011-10-18,688.165,,,,
2011-10-19,688.165,,,,
2011-10-20,688.165,,,,
2011-10-21,688.165,,,,
2011-10-24,688.165,,,,
2011-10-25,688.165,,,,
2011-10-26,688.179,,,,
2011-10-27,688.165,,,,
2011-10-28,688.179,,,,
2011-10-31,688.172,,,,
2011-11-01,688.172,,,,
2011-11-02,688.172,,,,
2011-11-03,688.172,,,,
2011-11-04,688.172,,,,
2011-11-07,688.172,,,,
2011-11-08,688.172,,,,
2011-11-09,688.172,,,,
2011-11-10,688.158,,,,
2011-11-14,688.172,,,,
2011-11-15,688.172,,,,
2011-11-16,688.172,,,,
2011-11-17,688.172,,,,
2011-11-18,688.172,,,,
2011-11-21,688.158,,,,
2011-11-22,688.172,,,,
2011-11-23,688.172,,,,
2011-11-25,688.172,,,,
2011-11-28,688.172,,,,
2011-11-29,688.165,,,,
2011-11-30,688.165,,,,
2011-12-01,688.165,,,,
2011-12-02,688.165,,,,
2011-12-05,688.165,,,,
2011-12-06,688.151,,,,
2011-12-07,688.165,,,,
2011-12-08,688.165,,,,
2011-12-09,688.165,,,,
2011-12-12,688.151,,,,
2011-12-13,688.165,,,,
2011-12-14,688.165,,,,
2011-12-15,688.165,,,,
2011-12-16,688.165,,,,
2011-12-19,688.165,,,,
2011-12-20,688.165,,,,
2011-12-21,688.151,,,,
2011-12-22,688.165,,,,
2011-12-23,688.165,,,,
2011-12-27,688.165,,,,
2011-12-28,688.165,,,,
2011-12-29,688.165,,,,
2011-12-30,688.158,,,,
2012-01-03,688.165,,,,
2012-01-04,688.165,,,,
2012-01-05,688.165,,,,
2012-01-06,688.179,,,,
2012-01-09,688.179,,,,
2012-01-10,688.165,,,,
2012-01-11,688.179,,,,
2012-01-12,688.165,,,,
2012-01-13,688.151,,,,
2012-01-16,688.153,,,,
2012-01-17,688.165,,,,
2012-01-18,688.165,,,,
2012-01-19,688.158,,,,
2012-01-20,688.144,,,,
2012-01-23,688.158,,,,
2012-01-24,688.158,,,,
2012-01-25,688.151,,,,
2012-01-26,688.151,,,,
2012-01-27,688.151,,,,
2012-01-30,688.144,,,,
2012-01-31,688.144,,,,
2012-02-01,688.165,,,,
2012-02-02,688.131,,,,
2012-02-03,688.131,,,,
2012-02-06,688.151,,,,
2012-02-07,688.151,,,,
2012-02-08,688.151,,,,
2012-02-09,688.11,,,,
2012-02-10,688.11,,,,
